24 Beacon Street,Massachusetts State House,9,17,9,17,9,17,9,17,9,17,0,0,0,0,42.35773,-71.06356
660 Beacon Street,Barnes and Noble @ BU,9,21,9,21,9,21,9,21,9,21,10,18,12,18,42.34915,-71.09621
1 Bennett Street,Charles Hotel,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,42.37226,-71.12267
700 Boylston Street,Boston Public Library,9,21,9,21,9,21,9,21,9,17,9,17,1,17,42.34948,-71.07774
800 Boylston Street,Prudential Center,10,21,10,21,10,21,10,21,10,21,10,21,11,18,42.34873,-71.08298
100 Cambridgeside Place,Cambridgeside Galleria,10,21,10,21,10,21,10,21,10,21,10,21,12,19,42.36815,-71.07615
725 Commonwealth Avenue,Boston University College of Arts and Sciences,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,42.35004,-71.10478
33 Harry Agganis Way,StuVi2,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,42.35324,-71.11812
33 Kilarnock Street,Shaw's Supermarket,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,42.3436,-71.09985
330 Mount Auburn Street,Mount Auburn Hospital,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,0,2359,42.37441,-71.13378
4 South Market Street,Quincy Market,10,21,10,21,10,21,10,21,10,21,10,21,11,18,42.35995,-71.05524
